OptionId,OptionValue
1492,Paul Curtis (North Melbourne)
1252,Peter Ladhams (Sydney)
897,Peter Wright (Essendon)
1675,Phoenix Foster (Geelong)
1685,Phoenix Gothard (Greater Western Sydney)
1180,Quinton Narkle (Port Adelaide)
1805,Reece Torrent (Brisbane)
1482,Reef McInnes (Collingwood)
1008,Reilly O'Brien (Adelaide)
1548,Reuben Ginbey (West Coast)
1517,Rhett Bazzo (West Coast)
1403,Rhyan Mansell (Richmond)
1271,Rhylee West (Western)
384,Rhys Stanley (Geelong)
1017,Riley Bonner (St Kilda)
1427,Riley Garcia (Western)
1691,Riley Hardeman (North Melbourne)
1412,Riley Thilthorpe (Adelaide)
1749,Rob Monahan (Carlton)
1039,Robbie Fox (Sydney)
1601,Robert Hansen (North Melbourne)
915,Rory Atkins (Gold Coast)
697,Rory Laird (Adelaide)
815,Rory Lobb (Western)
328,Rory Sloane (Adelaide)
1096,Rowan Marshall (St Kilda)
1518,Ryan Angwin (Greater Western Sydney)
1010,Ryan Burton (Port Adelaide)
1325,Ryan Byrnes (St Kilda)
1255,Ryan Gardner (Western)
429,Ryan Lester (Brisbane)
1586,Ryan Maric (West Coast)
1785,Ryley Sanders (Western)
1591,Sam Banks (Richmond)
1375,Sam Berry (Adelaide)
1631,Sam Butler (Hawthorn)
1638,Sam Clohesy (Gold Coast)
1539,Sam Darcy (Western)
480,Sam Day (Gold Coast)
1411,Sam De Koning (Geelong)
701,Sam Docherty (Carlton)
1330,Sam Draper (Essendon)
1044,Sam Durdin (Carlton)
1444,Sam Durham (Essendon)
1346,Sam Flanders (Gold Coast)
650,Sam Frost (Hawthorn)
845,Sam Naismith (Richmond)
1028,Sam Powell-Pepper (Port Adelaide)
241,Sam Reid (Sydney)
1287,Sam Sturt (Fremantle)
1202,Sam Switkowski (Fremantle)
1174,Sam Taylor (Greater Western Sydney)
1208,Sam Walsh (Carlton)
1006,Sam Weideman (Essendon)
1341,Sam Wicks (Sydney)
1436,Samson Ryan (Richmond)
1643,Samuel Collins (Gold Coast)
1626,Sandy Brock (Gold Coast)
41,Scott Pendlebury (Collingwood)
1570,Seamus Mitchell (Hawthorn)
1079,Sean Darcy (Fremantle)
768,Sean Lemmens (Gold Coast)
664,Sebastian Ross (St Kilda)
1720,Sebit Kuek (Fremantle)
1633,Seth Campbell (Richmond)
1625,Shadeau Brain (Brisbane)
1066,Shai Bolton (Richmond)
1308,Shane McAdam (Melbourne)
1511,Shannon Neale (Geelong)
1736,Shaun Mannagh (Geelong)
288,Steele Sidebottom (Collingwood)
1687,Steely Green (Richmond)
549,Stephen Coniglio (Greater Western Sydney)
473,Steven May (Melbourne)
1593,Taj Woewodin (Melbourne)
1388,Tanner Bruhn (Geelong)
1230,Tarryn Thomas (North Melbourne)
596,Taylor Adams (Sydney)
695,Taylor Duryea (Western)
1684,Taylor Goad (North Melbourne)
253,Taylor Walker (Adelaide)
1609,Ted Clohesy (Geelong)
1707,Tew Jiath (Collingwood)
1477,Tex Wanganeen (Essendon)
1622,Thomas Berry (Gold Coast)
1726,Thomas Liberatore (Western)
1788,Thomas Scully (Port Adelaide)
1800,Thomas Stewart (Geelong)
1357,Thomson Dow (Richmond)
1129,Tim Kelly (West Coast)
833,Tim Membrey (St Kilda)
1036,Tim Taranto (Richmond)
1667,Timothy English (Western)
1296,Toby Bedford (Greater Western Sydney)
1610,Toby Conway (Geelong)
552,Toby Greene (Greater Western Sydney)
1604,Toby McMullin (Greater Western Sydney)
905,Toby Nankervis (Richmond)
1770,Toby Pink (North Melbourne)
222,Todd Goldstein (Essendon)
1105,Todd Marshall (Port Adelaide)
1617,Tom Anastasopoulos (Port Adelaide)
1210,Tom Atkins (Geelong)
917,Tom Barrass (West Coast)
1611,Tom Brown (Richmond)
629,Tom Campbell (St Kilda)
770,Tom Clurey (Port Adelaide)
979,Tom Cole (West Coast)
1204,Tom De Koning (Carlton)
1114,Tom Doedee (Brisbane)
1608,Tom Emmett (Fremantle)
1354,Tom Fullarton (Melbourne)
1293,Tom Green (Greater Western Sydney)
88,Tom Hawkins (Geelong)
401,Tom Lynch (Richmond)
1741,Tom McCallum (Port Adelaide)
1158,Tom McCartin (Sydney)
541,Tom McDonald (Melbourne)
727,Tom Mitchell (Collingwood)
945,Tom Papley (Sydney)
1386,Tom Powell (North Melbourne)
1215,Tom Sparrow (Melbourne)
855,Touk Miller (Gold Coast)
125,Travis Boak (Port Adelaide)
448,Trent McKenzie (Port Adelaide)
1301,Trent Rivers (Melbourne)
1310,Tristan Xerri (North Melbourne)
1559,Tylar Young (Richmond)
1378,Tyler Brockman (West Coast)
1789,Tyler Sellers (North Melbourne)
1531,Tyler Sonsie (Richmond)
1659,Tyrell Dewar (West Coast)
1085,Tyson Stengle (Geelong)
1810,Vigo Visentini (Essendon)
1658,Wade Derksen (Greater Western Sydney)
942,Wayne Milera (Adelaide)
1767,Wil Parker (Collingwood)
1181,Wil Powell (Gold Coast)
1550,Will Ashcroft (Brisbane)
1073,Will Brodie (Fremantle)
1652,Will Dawson (North Melbourne)
1315,Will Day (Hawthorn)
1666,Will Edwards (Sydney)
1686,Will Graham (Gold Coast)
1688,Will Green (Sydney)
133,Will Hamill (Adelaide)
1040,Will Hayward (Sydney)
